					258						217						173						119
					307						271						171						 60
					322						280						130						 90
					254						205						146						 94
					187						169						 87						158
					106						140						 71						148
					 66						101						 24						 95
					104						 87						 58						 39
					108						108						164						 46
					150						164						163						109
					190						226						186						132
					215						194						118						176
					287						232						101						 92
					301						221						145						 64
					282						215						234						 62
					224						228						187						 92
					163						161						 66						163
					117						132						 57						145
					 85						100						 34						 78
					 79						123						 67						 35
					104						141						 86						 54
					155						164						180						 99
					202						206						194						159
					213						235						120						202
					286						242						122						114
					288						207						161						 64
					246						188						186						 64
					215						240						173						 98
					168						168						100						137
					112						121						 65						106
					 84						 91						 55						 57
					 88						107						 64						 36
					 95						132						 95						 72
					143						182						125						109
					207						211						153						139
					232						172						191						177
					336						217						169						106
					331						245						200						 66
					313						224						186						 72
					314						183						131						 90
					197						170						 40						133
					 94						149						 46						156
					 89						140						 38						 59
					 78						 75						 39						 46
					127						144						 42						 95
					112						130						127						103
					152						232						131						 97
					222						210						151						190
					178						230						 83						 95
					241						222						186						 57
					276						203						173						 63
					235						220						118						 59
					127						170						150						147
					 82						105						 98						139
					 54						 97						 76						 80
					 84						106						 44						 42
					 80						103						 78						 81
					158						156						 94						 64
					156						162						154						132
					238						232						106						209
					262						275						128						139
					311						249						172						 90
					290						230						171						 69
					313						245						143						118
					220						153						 72						152
					124						105						 66						141
					100						 73						 74						 70
					 93						 79						 43						 52
					143						106						 57						 71
					180						148						147						109
					168						164						194						156
					232						224						120						203
					318						278						 90						104
					292						261						116						119
					287						277						178						 61
					257						209						164						 85
					233						165						 68						143
					134						123						 67						144
					108						 99						 45						 68
					 98						 86						 80						 45
					111						163						123						104
					165						176						 88						116
					201						210						119						188
					294						241						174						188
					274						276						 98						112
					297						239						137						 64
					315						251						100						 65
					258						218						180						126
					199						184						 57						181
					149						140						 75						157
					115						 86						 49						 81
					 74						105						 41						 63
					128						123						 54						 90
					182						153						115						119
					202						173						157						130
					212						191						156						179
					251						173						122						 86
					261						211						233						 60
					270						176						145						 72
					280						200						131						123
					156						189						 95						156
					127						128						 67						129
					 79						149						 45						 60
					 75						118						 51						 25
					 98						137						 61						 49
					124						161						142						 97
					175						204						154						152
					215						206						134						191
					287						174						171						 91
					339						201						124						 94
					277						229						149						 62
					290						220						125						115
					235						153						 93						162
					152						106						 97						134
					103						 87						 30						 82
					 67						 94						 68						 53
					 93						 93						 42						 43
					148						138						 86						 92
					218						162						120						144
					272						227						129						155
					294						216						132						105
					313						252						134						 48
					324						222						 78						 73
					297						230						148						 79
					243						198						107						143
					172						140						 78						107
					109						115						 24						 70
					 95						106						 44						 36
					 93						134						101						 74
					175						165						105						119
					179						187						172						190
					262						204						238						201
					270						286						 66						100
					319						259						 64						 58
					271						252						110						 56
					247						219						179						115
					184						188						 88						143
					126						135						 49						142
					113						 79						 50						 65
					 85						 98						 43						 35
					107						126						 79						 47
					133						138						166						 92
					171						201						150						112
					231						216						213						165
					299						220						169						168
					277						255						150						 78
					309						269						136						 95
					254						205						144						 98
					215						162						 79						145
					140						132						 91						160
					 96						 90						 44						 44
					 70						 72						 48						 38
					100						110						 69						 41
					120						153						120						112
					145						191						113						111
					170						233						143						125
					215						237						106						103
					290						213						138						 53
					296						240						167						 61
					219						252						167						126
					112						185						 63						152
					 87						100						 62						124
					 84						 77						 42						 50
					 92						 80						 48						 40
					115						101						 45						 83
					115						155						148						 77
					175						189						135						144
					236						230						225						164
					250						231						197						102
					329						185						119						 59
					295						202						145						 79
					260						229						160						111
					168						162						 58						149
					112						111						 53						133
					 83						113						 22						 71
					 92						 93						 73						 36
					111						123						 41						 75
					167						142						 92						 90
					213						162						213						118
					242						249						207						146
					297						242						123						 89
					323						191						141						 75
					309						203						156						 60
					268						193						150						 84
					217						148						 71						141
					163						123						 85						128
					 87						 97						 55						 70
					 90						 79						 49						 56
					116						116						 54						 85
					143						116						122						121
					173						133						161						144
					222						205						106						166
					238						194						138						104
					273						201						153						109
					271						217						105						 96
					284						214						131						132
					249						179						 66						167
					132						138						 62						115
					 84						108						 90						 63
					 46						 99						 18						 30
					 85						125						 91						 60
					117						141						127						 82
					208						191						142						134
					233						200						166						179
					284						228						182						154
					285						213						157						 73
					323						232						129						108
					269						227						190						116
					207						185						 66						149
					131						130						 44						144
					 90						 74						 43						 64
					 98						102						 28						 60
					 97						148						 66						 71
					143						142						113						 84
					202						189						125						135
					184						265						216						177
					299						250						116						 77
					294						239						114						103
					336						221						151						 63
					243						207						111						 60
					179						187						 64						157
					 77						142						 64						140
					 60						117						 61						 68
					 73						 92						 62						 33
					 76						117						117						 47
					 97						136						117						106
					156						163						132						155
					183						215						156						206
					224						245						161						137
					237						220						130						 88
					263						206						162						146
					235						209						132						128
					177						185						 59						155
					124						141						107						141
					 93						119						 39						 73
					 68						121						 37						 50
					 95						114						127						 79
					150						167						167						144
					204						184						139						152
					200						272						143						176
					295						235						132						136
					300						242						104						 50
					279						202						175						 70
					277						193						139						129
					233						144						 41						161
					129						102						 84						109
					 85						 96						 51						 60
					 79						 93						 72						 34
					136						128						 70						 57
					126						103						119						 93
					175						110						172						 91
					235						170						 71						141
					305						213						150						 79
					308						197						100						 42
					330						190						138						 81
					308						194						166						112
					224						141						 72						164
					121						110						 68						125
					123						106						 21						 57
					 85						109						 51						 39
					135						126						 88						 51
					139						170						158						 99
					176						193						177						122
					207						227						206						167
					347						268						138						103
					269						227						141						 48
					268						251						139						 51
					247						204						134						104
					187						192						102						126
					154						119						 41						116
					 96						 91						 43						 74
					 54						 90						 33						 55
					 97						112						 33						 58
					131						144						113						114
					154						199						239						137
					246						282						 77						176
					260						245						106						103
					305						238						127						 56
					264						225						139						 87
					284						218						148						 94
					212						173						121						138
					136						170						 51						158
					 79						106						 23						 89
					 76						116						 64						 45
