1979	1	258
1979	2	307
1979	3	322
1979	4	254
1979	5	187
1979	6	106
1979	7	66
1979	8	104
1979	9	108
1979	10	150
1979	11	190
1979	12	215
1980	1	287
1980	2	301
1980	3	282
1980	4	224
1980	5	163
1980	6	117
1980	7	85
1980	8	79
1980	9	104
1980	10	155
1980	11	202
1980	12	213
1981	1	286
1981	2	288
1981	3	246
1981	4	215
1981	5	168
1981	6	112
1981	7	84
1981	8	88
1981	9	95
1981	10	143
1981	11	207
1981	12	232
1982	1	336
1982	2	331
1982	3	313
1982	4	314
1982	5	197
1982	6	94
1982	7	89
1982	8	78
1982	9	127
1982	10	112
1982	11	152
1982	12	222
1983	1	178
1983	2	241
1983	3	276
1983	4	235
1983	5	127
1983	6	82
1983	7	54
1983	8	84
1983	9	80
1983	10	158
1983	11	156
1983	12	238
1984	1	262
1984	2	311
1984	3	290
1984	4	313
1984	5	220
1984	6	124
1984	7	100
1984	8	93
1984	9	143
1984	10	180
1984	11	168
1984	12	232
1985	1	318
1985	2	292
1985	3	287
1985	4	257
1985	5	233
1985	6	134
1985	7	108
1985	8	98
1985	9	111
1985	10	165
1985	11	201
1985	12	294
1986	1	274
1986	2	297
1986	3	315
1986	4	258
1986	5	199
1986	6	149
1986	7	115
1986	8	74
1986	9	128
1986	10	182
1986	11	202
1986	12	212
1987	1	251
1987	2	261
1987	3	270
1987	4	280
1987	5	156
1987	6	127
1987	7	79
1987	8	75
1987	9	98
1987	10	124
1987	11	175
1987	12	215
1988	1	287
1988	2	339
1988	3	277
1988	4	290
1988	5	235
1988	6	152
1988	7	103
1988	8	67
1988	9	93
1988	10	148
1988	11	218
1988	12	272
1989	1	294
1989	2	313
1989	3	324
1989	4	297
1989	5	243
1989	6	172
1989	7	109
1989	8	95
1989	9	93
1989	10	175
1989	11	179
1989	12	262
1990	1	270
1990	2	319
1990	3	271
1990	4	247
1990	5	184
1990	6	126
1990	7	113
1990	8	85
1990	9	107
1990	10	133
1990	11	171
1990	12	231
1991	1	299
1991	2	277
1991	3	309
1991	4	254
1991	5	215
1991	6	140
1991	7	96
1991	8	70
1991	9	100
1991	10	120
1991	11	145
1991	12	170
1992	1	215
1992	2	290
1992	3	296
1992	4	219
1992	5	112
1992	6	87
1992	7	84
1992	8	92
1992	9	115
1992	10	115
1992	11	175
1992	12	236
1993	1	250
1993	2	329
1993	3	295
1993	4	260
1993	5	168
1993	6	112
1993	7	83
1993	8	92
1993	9	111
1993	10	167
1993	11	213
1993	12	242
1994	1	297
1994	2	323
1994	3	309
1994	4	268
1994	5	217
1994	6	163
1994	7	87
1994	8	90
1994	9	116
1994	10	143
1994	11	173
1994	12	222
1995	1	238
1995	2	273
1995	3	271
1995	4	284
1995	5	249
1995	6	132
1995	7	84
1995	8	46
1995	9	85
1995	10	117
1995	11	208
1995	12	233
1996	1	284
1996	2	285
1996	3	323
1996	4	269
1996	5	207
1996	6	131
1996	7	90
1996	8	98
1996	9	97
1996	10	143
1996	11	202
1996	12	184
1997	1	299
1997	2	294
1997	3	336
1997	4	243
1997	5	179
1997	6	77
1997	7	60
1997	8	73
1997	9	76
1997	10	97
1997	11	156
1997	12	183
1998	1	224
1998	2	237
1998	3	263
1998	4	235
1998	5	177
1998	6	124
1998	7	93
1998	8	68
1998	9	95
1998	10	150
1998	11	204
1998	12	200
1999	1	295
1999	2	300
1999	3	279
1999	4	277
1999	5	233
1999	6	129
1999	7	85
1999	8	79
1999	9	136
1999	10	126
1999	11	175
1999	12	235
2000	1	305
2000	2	308
2000	3	330
2000	4	308
2000	5	224
2000	6	121
2000	7	123
2000	8	85
2000	9	135
2000	10	139
2000	11	176
2000	12	207
2001	1	347
2001	2	269
2001	3	268
2001	4	247
2001	5	187
2001	6	154
2001	7	96
2001	8	54
2001	9	97
2001	10	131
2001	11	154
2001	12	246
2002	1	260
2002	2	305
2002	3	264
2002	4	284
2002	5	212
2002	6	136
2002	7	79
2002	8	76
2002	9	85
2002	10	127
2002	11	147
2002	12	240
2003	1	205
2003	2	301
2003	3	317
2003	4	260
2003	5	211
2003	6	141
2003	7	83
2003	8	90
2003	9	102
2003	10	134
2003	11	154
2003	12	161
2004	1	270
2004	2	329
2004	3	332
2004	4	231
2004	5	175
2004	6	113
2004	7	97
2004	8	94
2004	9	95
2004	10	142
2004	11	156
2004	12	190
2005	1	220
2005	2	311
2005	3	346
2005	4	263
2005	5	194
2005	6	82
2005	7	76
2005	8	63
2005	9	79
2005	10	141
2005	11	159
2005	12	321
